,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin
0,datapythonista,10058240,MDQ6VXNlcjEwMDU4MjQw,https://avatars.githubusercontent.com/u/10058240?v=4,,https://api.github.com/users/datapythonista,https://github.com/datapythonista,https://api.github.com/users/datapythonista/followers,https://api.github.com/users/datapythonista/following{/other_user},https://api.github.com/users/datapythonista/gists{/gist_id},https://api.github.com/users/datapythonista/starred{/owner}{/repo},https://api.github.com/users/datapythonista/subscriptions,https://api.github.com/users/datapythonista/orgs,https://api.github.com/users/datapythonista/repos,https://api.github.com/users/datapythonista/events{/privacy},https://api.github.com/users/datapythonista/received_events,User,False
1,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
2,datapythonista,10058240,MDQ6VXNlcjEwMDU4MjQw,https://avatars.githubusercontent.com/u/10058240?v=4,,https://api.github.com/users/datapythonista,https://github.com/datapythonista,https://api.github.com/users/datapythonista/followers,https://api.github.com/users/datapythonista/following{/other_user},https://api.github.com/users/datapythonista/gists{/gist_id},https://api.github.com/users/datapythonista/starred{/owner}{/repo},https://api.github.com/users/datapythonista/subscriptions,https://api.github.com/users/datapythonista/orgs,https://api.github.com/users/datapythonista/repos,https://api.github.com/users/datapythonista/events{/privacy},https://api.github.com/users/datapythonista/received_events,User,False
3,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
4,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
5,mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
6,lohmanndouglas,9731599,MDQ6VXNlcjk3MzE1OTk=,https://avatars.githubusercontent.com/u/9731599?v=4,,https://api.github.com/users/lohmanndouglas,https://github.com/lohmanndouglas,https://api.github.com/users/lohmanndouglas/followers,https://api.github.com/users/lohmanndouglas/following{/other_user},https://api.github.com/users/lohmanndouglas/gists{/gist_id},https://api.github.com/users/lohmanndouglas/starred{/owner}{/repo},https://api.github.com/users/lohmanndouglas/subscriptions,https://api.github.com/users/lohmanndouglas/orgs,https://api.github.com/users/lohmanndouglas/repos,https://api.github.com/users/lohmanndouglas/events{/privacy},https://api.github.com/users/lohmanndouglas/received_events,User,False
7,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
8,mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
9,rwijtvliet,4106013,MDQ6VXNlcjQxMDYwMTM=,https://avatars.githubusercontent.com/u/4106013?v=4,,https://api.github.com/users/rwijtvliet,https://github.com/rwijtvliet,https://api.github.com/users/rwijtvliet/followers,https://api.github.com/users/rwijtvliet/following{/other_user},https://api.github.com/users/rwijtvliet/gists{/gist_id},https://api.github.com/users/rwijtvliet/starred{/owner}{/repo},https://api.github.com/users/rwijtvliet/subscriptions,https://api.github.com/users/rwijtvliet/orgs,https://api.github.com/users/rwijtvliet/repos,https://api.github.com/users/rwijtvliet/events{/privacy},https://api.github.com/users/rwijtvliet/received_events,User,False
10,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
11,lithomas1,47963215,MDQ6VXNlcjQ3OTYzMjE1,https://avatars.githubusercontent.com/u/47963215?v=4,,https://api.github.com/users/lithomas1,https://github.com/lithomas1,https://api.github.com/users/lithomas1/followers,https://api.github.com/users/lithomas1/following{/other_user},https://api.github.com/users/lithomas1/gists{/gist_id},https://api.github.com/users/lithomas1/starred{/owner}{/repo},https://api.github.com/users/lithomas1/subscriptions,https://api.github.com/users/lithomas1/orgs,https://api.github.com/users/lithomas1/repos,https://api.github.com/users/lithomas1/events{/privacy},https://api.github.com/users/lithomas1/received_events,User,False
12,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
13,rhshadrach,45562402,MDQ6VXNlcjQ1NTYyNDAy,https://avatars.githubusercontent.com/u/45562402?v=4,,https://api.github.com/users/rhshadrach,https://github.com/rhshadrach,https://api.github.com/users/rhshadrach/followers,https://api.github.com/users/rhshadrach/following{/other_user},https://api.github.com/users/rhshadrach/gists{/gist_id},https://api.github.com/users/rhshadrach/starred{/owner}{/repo},https://api.github.com/users/rhshadrach/subscriptions,https://api.github.com/users/rhshadrach/orgs,https://api.github.com/users/rhshadrach/repos,https://api.github.com/users/rhshadrach/events{/privacy},https://api.github.com/users/rhshadrach/received_events,User,False
14,Th3nn3ss,25160953,MDQ6VXNlcjI1MTYwOTUz,https://avatars.githubusercontent.com/u/25160953?v=4,,https://api.github.com/users/Th3nn3ss,https://github.com/Th3nn3ss,https://api.github.com/users/Th3nn3ss/followers,https://api.github.com/users/Th3nn3ss/following{/other_user},https://api.github.com/users/Th3nn3ss/gists{/gist_id},https://api.github.com/users/Th3nn3ss/starred{/owner}{/repo},https://api.github.com/users/Th3nn3ss/subscriptions,https://api.github.com/users/Th3nn3ss/orgs,https://api.github.com/users/Th3nn3ss/repos,https://api.github.com/users/Th3nn3ss/events{/privacy},https://api.github.com/users/Th3nn3ss/received_events,User,False
15,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
16,rspocz,22218858,MDQ6VXNlcjIyMjE4ODU4,https://avatars.githubusercontent.com/u/22218858?v=4,,https://api.github.com/users/rspocz,https://github.com/rspocz,https://api.github.com/users/rspocz/followers,https://api.github.com/users/rspocz/following{/other_user},https://api.github.com/users/rspocz/gists{/gist_id},https://api.github.com/users/rspocz/starred{/owner}{/repo},https://api.github.com/users/rspocz/subscriptions,https://api.github.com/users/rspocz/orgs,https://api.github.com/users/rspocz/repos,https://api.github.com/users/rspocz/events{/privacy},https://api.github.com/users/rspocz/received_events,User,False
17,codamuse,116989963,U_kgDOBvkgCw,https://avatars.githubusercontent.com/u/116989963?v=4,,https://api.github.com/users/codamuse,https://github.com/codamuse,https://api.github.com/users/codamuse/followers,https://api.github.com/users/codamuse/following{/other_user},https://api.github.com/users/codamuse/gists{/gist_id},https://api.github.com/users/codamuse/starred{/owner}{/repo},https://api.github.com/users/codamuse/subscriptions,https://api.github.com/users/codamuse/orgs,https://api.github.com/users/codamuse/repos,https://api.github.com/users/codamuse/events{/privacy},https://api.github.com/users/codamuse/received_events,User,False
18,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
19,cdcadman,51368516,MDQ6VXNlcjUxMzY4NTE2,https://avatars.githubusercontent.com/u/51368516?v=4,,https://api.github.com/users/cdcadman,https://github.com/cdcadman,https://api.github.com/users/cdcadman/followers,https://api.github.com/users/cdcadman/following{/other_user},https://api.github.com/users/cdcadman/gists{/gist_id},https://api.github.com/users/cdcadman/starred{/owner}{/repo},https://api.github.com/users/cdcadman/subscriptions,https://api.github.com/users/cdcadman/orgs,https://api.github.com/users/cdcadman/repos,https://api.github.com/users/cdcadman/events{/privacy},https://api.github.com/users/cdcadman/received_events,User,False
20,efagerberg,7632073,MDQ6VXNlcjc2MzIwNzM=,https://avatars.githubusercontent.com/u/7632073?v=4,,https://api.github.com/users/efagerberg,https://github.com/efagerberg,https://api.github.com/users/efagerberg/followers,https://api.github.com/users/efagerberg/following{/other_user},https://api.github.com/users/efagerberg/gists{/gist_id},https://api.github.com/users/efagerberg/starred{/owner}{/repo},https://api.github.com/users/efagerberg/subscriptions,https://api.github.com/users/efagerberg/orgs,https://api.github.com/users/efagerberg/repos,https://api.github.com/users/efagerberg/events{/privacy},https://api.github.com/users/efagerberg/received_events,User,False
21,jbrockmendel,8078968,MDQ6VXNlcjgwNzg5Njg=,https://avatars.githubusercontent.com/u/8078968?v=4,,https://api.github.com/users/jbrockmendel,https://github.com/jbrockmendel,https://api.github.com/users/jbrockmendel/followers,https://api.github.com/users/jbrockmendel/following{/other_user},https://api.github.com/users/jbrockmendel/gists{/gist_id},https://api.github.com/users/jbrockmendel/starred{/owner}{/repo},https://api.github.com/users/jbrockmendel/subscriptions,https://api.github.com/users/jbrockmendel/orgs,https://api.github.com/users/jbrockmendel/repos,https://api.github.com/users/jbrockmendel/events{/privacy},https://api.github.com/users/jbrockmendel/received_events,User,False
22,mar-ses,17413212,MDQ6VXNlcjE3NDEzMjEy,https://avatars.githubusercontent.com/u/17413212?v=4,,https://api.github.com/users/mar-ses,https://github.com/mar-ses,https://api.github.com/users/mar-ses/followers,https://api.github.com/users/mar-ses/following{/other_user},https://api.github.com/users/mar-ses/gists{/gist_id},https://api.github.com/users/mar-ses/starred{/owner}{/repo},https://api.github.com/users/mar-ses/subscriptions,https://api.github.com/users/mar-ses/orgs,https://api.github.com/users/mar-ses/repos,https://api.github.com/users/mar-ses/events{/privacy},https://api.github.com/users/mar-ses/received_events,User,False
23,2-5,3753822,MDQ6VXNlcjM3NTM4MjI=,https://avatars.githubusercontent.com/u/3753822?v=4,,https://api.github.com/users/2-5,https://github.com/2-5,https://api.github.com/users/2-5/followers,https://api.github.com/users/2-5/following{/other_user},https://api.github.com/users/2-5/gists{/gist_id},https://api.github.com/users/2-5/starred{/owner}{/repo},https://api.github.com/users/2-5/subscriptions,https://api.github.com/users/2-5/orgs,https://api.github.com/users/2-5/repos,https://api.github.com/users/2-5/events{/privacy},https://api.github.com/users/2-5/received_events,User,False
24,joooeey,28426758,MDQ6VXNlcjI4NDI2NzU4,https://avatars.githubusercontent.com/u/28426758?v=4,,https://api.github.com/users/joooeey,https://github.com/joooeey,https://api.github.com/users/joooeey/followers,https://api.github.com/users/joooeey/following{/other_user},https://api.github.com/users/joooeey/gists{/gist_id},https://api.github.com/users/joooeey/starred{/owner}{/repo},https://api.github.com/users/joooeey/subscriptions,https://api.github.com/users/joooeey/orgs,https://api.github.com/users/joooeey/repos,https://api.github.com/users/joooeey/events{/privacy},https://api.github.com/users/joooeey/received_events,User,False
25,krasch,3533957,MDQ6VXNlcjM1MzM5NTc=,https://avatars.githubusercontent.com/u/3533957?v=4,,https://api.github.com/users/krasch,https://github.com/krasch,https://api.github.com/users/krasch/followers,https://api.github.com/users/krasch/following{/other_user},https://api.github.com/users/krasch/gists{/gist_id},https://api.github.com/users/krasch/starred{/owner}{/repo},https://api.github.com/users/krasch/subscriptions,https://api.github.com/users/krasch/orgs,https://api.github.com/users/krasch/repos,https://api.github.com/users/krasch/events{/privacy},https://api.github.com/users/krasch/received_events,User,False
26,deepyaman,14007150,MDQ6VXNlcjE0MDA3MTUw,https://avatars.githubusercontent.com/u/14007150?v=4,,https://api.github.com/users/deepyaman,https://github.com/deepyaman,https://api.github.com/users/deepyaman/followers,https://api.github.com/users/deepyaman/following{/other_user},https://api.github.com/users/deepyaman/gists{/gist_id},https://api.github.com/users/deepyaman/starred{/owner}{/repo},https://api.github.com/users/deepyaman/subscriptions,https://api.github.com/users/deepyaman/orgs,https://api.github.com/users/deepyaman/repos,https://api.github.com/users/deepyaman/events{/privacy},https://api.github.com/users/deepyaman/received_events,User,False
27,MikaelUmaN,1746060,MDQ6VXNlcjE3NDYwNjA=,https://avatars.githubusercontent.com/u/1746060?v=4,,https://api.github.com/users/MikaelUmaN,https://github.com/MikaelUmaN,https://api.github.com/users/MikaelUmaN/followers,https://api.github.com/users/MikaelUmaN/following{/other_user},https://api.github.com/users/MikaelUmaN/gists{/gist_id},https://api.github.com/users/MikaelUmaN/starred{/owner}{/repo},https://api.github.com/users/MikaelUmaN/subscriptions,https://api.github.com/users/MikaelUmaN/orgs,https://api.github.com/users/MikaelUmaN/repos,https://api.github.com/users/MikaelUmaN/events{/privacy},https://api.github.com/users/MikaelUmaN/received_events,User,False
28,topper-123,26364415,MDQ6VXNlcjI2MzY0NDE1,https://avatars.githubusercontent.com/u/26364415?v=4,,https://api.github.com/users/topper-123,https://github.com/topper-123,https://api.github.com/users/topper-123/followers,https://api.github.com/users/topper-123/following{/other_user},https://api.github.com/users/topper-123/gists{/gist_id},https://api.github.com/users/topper-123/starred{/owner}{/repo},https://api.github.com/users/topper-123/subscriptions,https://api.github.com/users/topper-123/orgs,https://api.github.com/users/topper-123/repos,https://api.github.com/users/topper-123/events{/privacy},https://api.github.com/users/topper-123/received_events,User,False
29,Samreay,6748505,MDQ6VXNlcjY3NDg1MDU=,https://avatars.githubusercontent.com/u/6748505?v=4,,https://api.github.com/users/Samreay,https://github.com/Samreay,https://api.github.com/users/Samreay/followers,https://api.github.com/users/Samreay/following{/other_user},https://api.github.com/users/Samreay/gists{/gist_id},https://api.github.com/users/Samreay/starred{/owner}{/repo},https://api.github.com/users/Samreay/subscriptions,https://api.github.com/users/Samreay/orgs,https://api.github.com/users/Samreay/repos,https://api.github.com/users/Samreay/events{/privacy},https://api.github.com/users/Samreay/received_events,User,False
30,mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
31,rwijtvliet,4106013,MDQ6VXNlcjQxMDYwMTM=,https://avatars.githubusercontent.com/u/4106013?v=4,,https://api.github.com/users/rwijtvliet,https://github.com/rwijtvliet,https://api.github.com/users/rwijtvliet/followers,https://api.github.com/users/rwijtvliet/following{/other_user},https://api.github.com/users/rwijtvliet/gists{/gist_id},https://api.github.com/users/rwijtvliet/starred{/owner}{/repo},https://api.github.com/users/rwijtvliet/subscriptions,https://api.github.com/users/rwijtvliet/orgs,https://api.github.com/users/rwijtvliet/repos,https://api.github.com/users/rwijtvliet/events{/privacy},https://api.github.com/users/rwijtvliet/received_events,User,False
